paper_i,paper_j,similarity,authors_share,length_i,words_i,length_j,words_j,length_diff,words_diff,length_ratio,words_ratio,has_method_both,has_data_both,has_empirical_both,has_policy_both
10305,19071,.9231379,1,1311,212,666,96,645,116,.50800914,.4528302,0,1,0,0
10905,19071,.96813333,1,414,70,666,96,252,26,.62162161,.72916669,0,1,0,0
17459,19373,.94655478,1,1237,181,1873,270,636,89,.66043782,.6703704,0,1,0,1
19423,19424,.96067595,1,643,94,704,110,61,16,.91335225,.85454547,0,0,0,0
16839,19621,.96220672,1,982,142,835,122,147,20,.8503055,.85915494,0,0,0,1
17211,19861,.96086109,1,538,91,1180,192,642,101,.4559322,.47395834,0,0,0,0
17107,20297,.96098286,1,1587,233,1120,163,467,70,.70573407,.69957083,0,0,0,0
11252,20645,.96019232,1,1054,153,1243,185,189,32,.84794849,.82702702,0,0,0,0
18769,20719,.9653182,1,699,109,1130,174,431,65,.6185841,.62643677,0,1,0,0
15656,21109,.96214747,1,862,128,1625,238,763,110,.53046155,.53781515,0,0,0,0
19122,21250,.96553779,1,984,153,996,138,12,15,.98795182,.90196079,0,0,0,0
17459,21759,.96063864,1,1237,181,1986,272,749,91,.62286001,.66544116,0,1,0,1
19373,21759,.96280301,1,1873,270,1986,272,113,2,.9431017,.99264705,0,1,0,1
21147,22841,.96784413,1,627,99,964,153,337,54,.65041494,.64705884,0,0,0,0
21889,23088,.96065158,1,582,92,676,94,94,2,.86094677,.97872341,0,0,1,0
12481,23267,.96114284,1,786,120,1481,217,695,97,.5307225,.55299538,0,0,0,0
21816,23311,.96862698,1,908,136,1020,152,112,16,.89019608,.89473683,1,0,0,0
20848,23502,.96039724,1,1164,187,1107,173,57,14,.95103091,.92513371,0,0,0,0
14934,23621,.96689022,1,555,82,448,69,107,13,.80720723,.84146339,0,0,0,0
22128,23960,.96874845,1,1432,218,1107,175,325,43,.77304471,.80275232,0,0,0,0
21231,25099,.96026695,1,758,98,648,100,110,2,.85488129,.98000002,0,0,0,1
18545,25463,.9636066,1,961,150,953,150,8,0,.99167532,1,0,0,0,1
22568,26051,.96598852,1,786,118,791,122,5,4,.99367887,.96721309,0,0,0,0
17513,26226,.96156812,1,1382,201,1319,198,63,3,.95441389,.98507464,0,0,0,1
17351,26851,.96707839,1,1070,143,910,133,160,10,.85046726,.93006992,1,1,0,0
23421,26999,.96028709,1,1162,174,649,100,513,74,.55851978,.57471263,0,0,0,0
22371,27948,.96909952,1,1018,150,1067,150,49,0,.95407683,1,0,0,0,0
23819,28013,.96207058,1,705,99,952,134,247,35,.74054623,.73880595,0,0,0,0
12663,28388,.96665663,1,1464,224,1482,234,18,10,.98785424,.95726496,0,0,0,0
16489,28438,.96076721,1,696,100,791,96,95,4,.87989885,.95999998,0,0,0,0
21590,28502,.96161705,1,797,109,546,75,251,34,.68506902,.6880734,1,0,0,0
28568,28570,.96045429,1,1437,196,1331,187,106,9,.9262352,.95408165,0,0,0,0
21814,28836,.96620226,1,741,116,805,111,64,5,.92049688,.95689654,0,0,0,0
24682,28997,.962107,1,1256,200,557,84,699,116,.44347134,.41999999,0,0,0,0
25904,29734,.95017874,1,600,99,610,91,10,8,.98360658,.9191919,0,0,0,0
27674,29737,.96684241,1,1869,296,1274,195,595,101,.68164796,.65878379,0,1,0,0
30005,30507,.96587014,1,479,67,568,84,89,17,.84330988,.79761904,0,0,0,0
29734,30564,.96180457,1,610,91,966,132,356,41,.63146996,.68939394,0,0,0,0
25904,30564,.96536899,1,600,99,966,132,366,33,.62111801,.75,0,0,0,0
